"CubeId";"snboffzisa"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"Value"
"2022-12";"UG1";"4.25"
"2022-12";"OG1";"4.5"
"2022-12";"H";"2.5"
"2022-12";"SRF";"2.75"
"2022-12";"EF";"2"
"2022-12";"L0";"3.5"
"2022-12";"L1";"-0.1"
"2023-01";"LZ";"1"
"2023-01";"UG1";"4.25"
"2023-01";"OG1";"4.5"
"2023-01";"H";"2.5"
"2023-01";"SRF";"2.75"
"2023-01";"EF";"2"
"2023-01";"L0";"3.5"
"2023-01";"L1";"-0.1"
"2023-02";"LZ";"1"
"2023-02";"UG1";"4.5"
"2023-02";"OG1";"4.75"
"2023-02";"H";"3"
"2023-02";"SRF";"3.25"
"2023-02";"EF";"2.5"
"2023-02";"L0";"4"
"2023-02";"L1";"-0.1"
"2023-03";"LZ";"1.5"
"2023-03";"UG1";"4.75"
"2023-03";"OG1";"5"
"2023-03";"H";"3.5"
"2023-03";"SRF";"3.75"
"2023-03";"EF";"3"
"2023-03";"L0";"4.25"
"2023-03";"L1";"-0.1"
"2023-04";"LZ";"1.5"
"2023-04";"UG1";"4.75"
"2023-04";"OG1";"5"
"2023-04";"H";"3.5"
"2023-04";"SRF";"3.75"
"2023-04";"EF";"3"
"2023-04";"L0";"4.25"
"2023-04";"L1";"-0.1"
"2023-05";"LZ";"1.5"
"2023-05";"UG1";"5"
"2023-05";"OG1";"5.25"
"2023-05";"H";"3.75"
"2023-05";"SRF";"4"
"2023-05";"EF";"3.25"
"2023-05";"L0";"4.5"
"2023-05";"L1";"-0.1"
"2023-06";"LZ";"1.75"
"2023-06";"UG1";"5"
"2023-06";"OG1";"5.25"
"2023-06";"H";"4"
"2023-06";"SRF";"4.25"
"2023-06";"EF";"3.5"
"2023-06";"L0";"5"
"2023-06";"L1";"-0.1"
"2023-07";"LZ";"1.75"
"2023-07";"UG1";"5.25"
"2023-07";"OG1";"5.5"
"2023-07";"H";"4.25"
"2023-07";"SRF";"4.5"
"2023-07";"EF";"3.75"
"2023-07";"L0";"5"
"2023-07";"L1";"-0.1"
"2023-08";"LZ";"1.75"
"2023-08";"UG1";"5.25"
"2023-08";"OG1";"5.5"
"2023-08";"H";"4.25"
"2023-08";"SRF";"4.5"
"2023-08";"EF";"3.75"
"2023-08";"L0";"5.25"
"2023-08";"L1";"-0.1"
"2023-09";"LZ";"1.75"
"2023-09";"UG1";"5.25"
"2023-09";"OG1";"5.5"
"2023-09";"H";"4.5"
"2023-09";"SRF";"4.75"
"2023-09";"EF";"4"
"2023-09";"L0";"5.25"
"2023-09";"L1";"-0.1"
"2023-10";"LZ";"1.75"
"2023-10";"UG1";"5.25"
"2023-10";"OG1";"5.5"
"2023-10";"H";"4.5"
"2023-10";"SRF";"4.75"
"2023-10";"EF";"4"
"2023-10";"L0";"5.25"
"2023-10";"L1";"-0.1"
"2023-11";"LZ";"1.75"
"2023-11";"UG1";"5.25"
"2023-11";"OG1";"5.5"
"2023-11";"H";"4.5"
"2023-11";"SRF";"4.75"
"2023-11";"EF";"4"
"2023-11";"L0";"5.25"
"2023-11";"L1";"-0.1"
"2023-12";"LZ";"1.75"
"2023-12";"UG1";"5.25"
"2023-12";"OG1";"5.5"
"2023-12";"H";"4.5"
"2023-12";"SRF";"4.75"
"2023-12";"EF";"4"
"2023-12";"L0";"5.25"
"2023-12";"L1";"-0.1"
"2024-01";"LZ";"1.75"
"2024-01";"UG1";"5.25"
"2024-01";"OG1";"5.5"
"2024-01";"H";"4.5"
"2024-01";"SRF";"4.75"
"2024-01";"EF";"4"
"2024-01";"L0";"5.25"
"2024-01";"L1";"-0.1"
"2024-02";"LZ";"1.75"
"2024-02";"UG1";"5.25"
